Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PasTotCmp,PasTotAtt,PasTotCmp%,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,TB,Sw,PasCrs,CK,PasCmp,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,Tkl,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToTkl,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Crs,Recov,AerWon,AerLost
383,Juan Cabal,COL,DF,Hellas Verona,Serie A,22,2001,3,0,57,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,66.7,16.7,20.0,83.3,11.7,15.0,77.8,1.67,8.33,20.0,0.0,1.67,5.0,1.67,1.67,5.0,45.0,0.0,1.67,3.33,0.0,30.0,1.67,5.0,3.33,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,0.0,0.0,1.67,100.0,0.0,0.0,0.0,0.0,1.67,3.33,0.0,58.3,11.7,25.0,30.0,6.67,0.0,58.3,1.67,0.0,0.0,28.3,121.7,86.7,0.0,1.67,0.0,26.7,5.0,1.67,0.0,0.0,1.67,3.33,3.33,15.0,0.0,6.67
384,Rémy Cabella,FRA,MFFW,Lille,Ligue 1,32,1990,16,13,1197,13.3,4,1.58,1.05,0.19,0.29,14.8,0.3,0.0,53.0,65.5,80.9,29.8,33.4,89.2,17.1,21.0,81.4,3.01,5.71,52.6,0.45,3.53,5.86,2.71,0.45,8.95,65.5,0.45,0.23,5.04,2.86,53.0,1.73,6.84,5.26,1.05,0.08,0.23,0.15,0.08,0.6,0.53,0.08,0.0,0.0,2.56,0.75,1.2,0.6,1.05,58.3,0.75,2.18,0.15,2.03,0.6,3.16,0.08,77.0,0.75,6.84,35.5,35.4,4.96,77.0,2.11,0.75,0.9,59.4,346.4,158.0,4.51,3.16,1.2,56.2,8.2,0.15,0.0,0.0,0.9,1.28,5.04,5.86,0.15,0.83
385,Jimmy Cabot,FRA,DFMF,Lens,Ligue 1,28,1994,11,5,511,5.7,0,0.88,0.18,0.0,0.0,17.0,0.0,0.0,45.8,60.7,75.4,21.6,24.0,89.8,17.9,22.8,78.5,5.61,11.9,47.1,0.18,2.98,3.33,2.28,0.7,5.09,60.7,0.18,0.35,8.77,5.79,45.8,1.23,5.44,4.04,1.23,0.0,0.0,0.0,0.18,0.18,0.18,0.0,0.0,0.0,3.51,1.75,1.4,0.35,2.11,46.2,2.46,0.88,0.0,0.88,0.7,4.21,0.0,75.8,2.28,15.4,28.4,33.9,3.33,75.8,4.21,2.11,1.93,49.5,351.2,155.6,4.56,2.98,1.4,43.3,11.4,0.35,0.0,0.0,2.46,0.0,8.77,8.77,0.53,0.53
386,Leandro Cabrera,URU,DF,Espanyol,La Liga,31,1991,19,19,1647,18.3,0,0.77,0.16,0.0,0.0,9.6,0.0,0.0,32.0,44.6,71.6,9.23,11.2,82.4,16.9,20.4,83.1,5.46,11.6,47.2,0.0,0.44,2.79,0.49,0.11,2.95,44.6,0.0,0.44,0.33,0.0,32.0,0.38,1.04,0.82,0.05,0.0,0.16,0.0,0.0,0.05,0.05,0.0,0.0,0.0,1.09,0.71,0.38,0.0,0.6,73.3,0.22,1.26,0.98,0.27,1.48,2.57,0.11,54.6,7.21,25.4,26.6,2.9,1.37,54.6,0.0,0.0,0.0,25.7,111.1,50.8,0.49,0.22,0.05,29.6,0.16,0.16,0.05,0.0,0.98,0.49,0.33,4.86,2.51,1.53
387,Liberato Cacace,NZL,DF,Empoli,Serie A,22,2000,5,2,274,3.0,0,1.33,0.0,0.0,0.0,23.0,0.0,0.0,53.3,68.0,78.4,27.0,29.7,91.0,23.0,29.3,78.4,2.0,5.33,37.5,0.0,1.33,4.67,0.0,0.0,7.0,68.0,0.0,0.33,4.33,0.0,53.3,1.33,4.33,3.33,0.0,0.33,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.33,5.67,2.33,2.33,1.0,2.0,66.7,1.0,2.33,1.0,1.33,1.0,6.67,0.0,87.0,4.0,23.3,40.3,24.3,2.33,87.0,2.67,1.33,1.33,39.7,303.0,195.7,5.67,4.33,1.33,46.7,6.33,0.0,0.0,0.0,1.33,0.67,4.33,5.0,0.67,4.33
388,Anthony Caci,FRA,DF,Mainz 05,Bundesliga,25,1997,17,11,1059,11.8,1,0.51,0.17,0.17,0.5,16.5,0.0,0.0,38.9,52.8,73.7,12.0,14.7,81.6,18.1,22.6,80.1,7.97,13.3,59.9,0.08,1.1,4.92,0.93,0.51,3.98,52.8,0.0,1.27,2.37,0.85,38.9,1.19,2.46,1.44,0.68,0.08,0.17,0.08,0.0,0.25,0.17,0.0,0.0,0.08,2.71,1.69,0.85,0.17,1.19,82.4,0.25,0.76,0.34,0.42,2.8,5.51,0.0,63.6,4.24,23.0,33.1,8.31,0.68,63.6,0.68,0.25,0.34,33.2,152.7,73.0,0.68,0.25,0.08,33.5,1.61,0.0,0.0,0.0,0.59,0.34,2.37,7.29,0.93,1.95
389,Cafú,POR,MF,Nott'ham Forest,Premier League,29,1993,1,0,7,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,0.0,0.0,0.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,20.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,20.0,120.0,70.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
390,Moisés Caicedo,ECU,MF,Brighton,Premier League,21,2001,20,19,1729,19.2,1,0.73,0.26,0.07,0.2,23.7,0.0,0.0,54.1,61.4,88.2,28.5,31.1,91.5,19.8,21.9,90.3,4.17,4.95,84.2,0.05,1.2,4.69,1.3,0.21,6.46,61.4,0.36,0.31,0.47,0.0,54.1,0.99,2.24,2.14,0.0,0.0,0.1,0.0,0.0,0.16,0.16,0.0,0.0,0.0,2.97,1.04,1.46,0.47,1.2,69.7,0.52,0.94,0.1,0.83,1.61,4.58,0.1,71.2,2.76,16.1,40.3,15.8,0.83,71.2,0.99,0.42,0.57,41.9,176.4,78.7,0.83,0.83,0.21,51.8,1.56,0.31,0.0,0.0,2.03,1.3,0.47,6.67,1.2,0.68
391,Tom Cairney,SCO,MF,Fulham,Premier League,32,1991,22,1,471,5.2,0,2.12,0.0,0.0,0.0,20.3,0.0,0.0,65.8,76.9,85.5,33.7,36.7,91.6,22.9,26.7,85.6,6.73,9.23,72.9,0.0,1.92,7.12,2.12,0.77,9.62,76.9,0.38,0.58,3.46,1.15,65.8,0.77,5.0,3.85,0.38,0.19,0.38,0.0,0.19,0.19,0.19,0.0,0.0,0.0,2.5,0.38,1.15,0.96,1.15,100.0,0.0,1.54,0.19,1.35,0.38,2.88,0.0,89.6,0.38,13.7,42.3,35.4,3.46,89.6,2.12,0.96,0.77,57.7,317.1,157.9,4.04,3.46,1.15,68.1,5.0,0.19,0.0,0.0,0.58,1.54,3.46,7.12,0.77,0.77
392,Jens Cajuste,SWE,MF,Reims,Ligue 1,23,1999,16,8,858,9.5,1,1.37,0.32,0.08,0.33,18.8,0.0,0.0,36.0,44.4,81.0,15.9,19.1,83.4,15.1,17.9,84.1,4.0,5.68,70.4,0.11,0.95,4.0,0.84,0.0,6.11,44.4,0.32,0.42,0.21,0.11,36.0,1.16,2.95,2.53,0.0,0.11,0.11,0.11,0.11,0.21,0.11,0.0,0.11,0.0,3.79,2.11,1.05,0.63,1.89,56.3,1.47,2.11,0.42,1.68,1.26,5.05,0.0,59.1,3.16,16.4,30.8,12.5,1.89,59.1,2.84,1.05,1.05,42.1,231.6,131.1,2.0,2.0,0.21,36.9,1.16,0.63,0.11,0.11,2.0,2.11,0.21,7.16,0.84,1.16
393,Cala,ESP,DF,Cádiz,La Liga,33,1989,3,1,137,1.5,0,0.67,0.0,0.0,0.0,13.2,0.0,0.0,20.0,25.3,78.9,2.67,3.33,80.0,9.33,11.3,82.4,8.0,10.7,75.0,0.0,0.0,0.0,0.0,0.0,1.33,25.3,0.0,1.33,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.67,0.67,0.0,0.67,50.0,0.67,1.33,0.67,0.67,0.67,2.0,0.0,39.3,8.67,24.7,14.0,0.67,0.67,39.3,0.0,0.0,0.0,12.7,39.3,5.33,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.67,3.33,0.0,2.0,2.0,2.67
394,Davide Calabria,ITA,DF,Milan,Serie A,26,1996,14,13,1000,11.1,1,0.63,0.09,0.14,1.0,21.1,0.0,0.0,52.8,66.0,79.9,22.4,24.1,93.3,23.9,27.4,87.2,5.32,11.7,45.4,0.18,0.81,3.24,0.99,0.72,4.86,66.0,0.0,0.18,2.61,0.45,52.8,1.17,1.62,1.44,0.09,0.0,0.0,0.09,0.0,0.27,0.18,0.0,0.0,0.0,4.5,2.07,1.89,0.54,2.52,65.1,1.35,1.26,0.36,0.9,1.53,6.04,0.0,77.1,3.78,24.4,38.4,15.3,0.81,77.1,0.72,0.09,0.45,38.5,172.4,103.1,1.35,1.35,0.09,46.0,3.87,0.36,0.0,0.0,0.9,0.81,2.61,6.13,0.45,0.63
395,Mattia Caldara,ITA,DF,Spezia,Serie A,28,1994,14,10,969,10.8,0,0.74,0.19,0.0,0.0,11.4,0.0,0.0,32.7,42.4,77.1,13.2,15.7,84.1,15.7,19.4,81.3,3.06,6.02,50.8,0.0,0.09,1.39,0.09,0.0,2.31,42.4,0.0,0.19,0.09,0.0,32.7,0.37,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,1.76,0.83,0.74,0.19,0.74,44.4,0.93,1.39,0.83,0.56,1.3,3.06,0.19,55.6,9.26,31.0,21.9,3.43,1.2,55.6,0.46,0.19,0.19,26.8,134.7,61.0,0.46,0.19,0.0,25.4,0.37,0.46,0.0,0.0,1.3,0.83,0.09,6.57,2.31,1.76
396,Luca Caldirola,ITA,DF,Monza,Serie A,32,1991,17,15,1312,14.6,0,0.34,0.07,0.0,0.0,13.1,0.0,0.0,50.1,57.1,87.9,20.5,21.6,95.2,24.3,26.8,90.8,4.52,6.92,65.3,0.0,0.21,2.4,0.21,0.0,3.08,57.1,0.07,0.41,0.21,0.0,50.1,0.34,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.96,0.55,0.21,0.21,0.41,50.0,0.41,1.03,0.48,0.55,0.96,1.92,0.0,64.3,7.53,31.7,29.3,3.56,0.48,64.3,0.07,0.0,0.07,37.9,201.7,123.1,0.62,0.48,0.0,46.4,0.75,0.21,0.0,0.0,1.23,1.03,0.21,3.84,1.78,1.16
397,Fernando Calero,ESP,DFMF,Espanyol,La Liga,27,1995,17,14,1180,13.1,0,0.31,0.08,0.0,0.0,10.0,0.0,0.0,33.4,41.7,80.2,12.0,13.6,88.2,16.3,18.9,86.3,4.81,8.17,58.9,0.0,0.23,3.44,0.23,0.0,3.51,41.7,0.0,0.69,0.31,0.0,33.4,0.15,0.84,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.53,0.92,0.23,1.37,75.0,0.46,1.83,0.69,1.15,0.61,3.28,0.0,51.6,4.96,20.5,27.3,4.35,0.46,51.6,0.08,0.0,0.08,23.9,100.8,48.5,0.38,0.38,0.08,27.3,0.08,0.23,0.0,0.0,1.07,0.53,0.31,5.04,1.83,1.22
398,Duje ?aleta-Car,CRO,DF,Southampton,Premier League,26,1996,10,7,716,8.0,0,0.38,0.13,0.0,0.0,10.6,0.0,0.0,43.9,51.8,84.8,13.6,15.3,89.3,24.6,26.5,92.9,5.13,8.63,59.4,0.0,0.13,2.5,0.0,0.0,2.88,51.8,0.0,0.0,0.13,0.0,43.9,0.13,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.88,0.38,0.13,0.63,83.3,0.13,1.25,1.0,0.25,1.63,3.0,0.13,62.5,11.6,37.6,23.6,1.5,0.88,62.5,0.0,0.0,0.0,34.1,172.0,86.6,0.25,0.13,0.0,38.9,0.0,0.13,0.0,0.0,0.88,0.13,0.13,5.13,1.25,1.38
399,Duje ?aleta-Car,CRO,DF,Marseille,Ligue 1,26,1996,1,0,8,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,0.0,0.0,0.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,20.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,20.0,50.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
400,Hakan Çalhanoðlu,TUR,MF,Inter,Serie A,29,1994,20,19,1527,17.0,2,1.65,0.41,0.04,0.14,26.2,0.35,0.06,48.5,58.1,83.4,21.5,23.6,91.3,19.7,22.4,88.2,5.76,9.24,62.4,0.29,2.59,5.18,1.29,0.41,5.76,58.1,0.24,0.82,5.18,3.35,48.5,0.35,4.35,2.53,1.41,0.0,0.18,0.18,0.06,0.47,0.29,0.18,0.0,0.0,2.06,0.71,1.12,0.24,0.47,38.1,0.76,1.29,0.24,1.06,1.12,3.18,0.06,68.2,1.47,13.9,36.3,18.7,0.88,68.2,0.76,0.24,0.29,38.9,180.4,79.5,1.41,1.24,0.12,44.4,1.88,0.12,0.0,0.0,1.82,1.12,5.18,7.47,0.65,0.71
401,Kerim Calhanoglu,GER,DF,Schalke 04,Bundesliga,20,2002,3,0,63,0.7,0,1.43,0.0,0.0,0.0,16.7,0.0,0.0,42.9,60.0,71.4,20.0,22.9,87.5,14.3,21.4,66.7,8.57,11.4,75.0,0.0,4.29,0.0,2.86,1.43,4.29,60.0,0.0,0.0,2.86,1.43,42.9,4.29,5.71,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,0.0,0.0,2.86,100.0,0.0,1.43,0.0,1.43,0.0,2.86,0.0,82.9,4.29,31.4,24.3,27.1,1.43,82.9,4.29,0.0,4.29,24.3,112.9,64.3,4.29,4.29,0.0,30.0,4.29,0.0,0.0,0.0,4.29,1.43,2.86,4.29,1.43,2.86
402,Daniel Caligiuri,ITA,DFMF,Augsburg,Bundesliga,35,1988,11,2,259,2.9,1,1.72,0.69,0.2,0.5,17.7,0.0,0.0,29.3,45.2,64.9,12.8,15.9,80.4,11.4,17.9,63.5,3.45,8.28,41.7,0.0,1.03,2.76,1.38,0.0,3.79,45.2,0.0,0.69,3.45,2.07,29.3,0.69,2.41,0.69,1.03,0.0,0.0,0.69,0.0,0.34,0.0,0.0,0.0,0.0,2.76,1.72,1.03,0.0,1.38,80.0,0.34,0.69,0.69,0.0,1.03,3.79,0.0,55.9,3.79,18.6,22.8,16.2,1.72,55.9,3.45,1.38,1.38,24.1,131.0,70.7,2.07,1.72,0.34,24.8,2.41,0.34,0.0,0.0,1.72,1.03,3.45,8.97,0.69,1.72
403,Alexander Callens,PER,DF,Girona,La Liga,30,1992,1,0,45,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,66.0,87.9,26.0,26.0,100.0,32.0,40.0,80.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,66.0,0.0,0.0,0.0,0.0,58.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,76.0,6.0,26.0,50.0,0.0,0.0,76.0,0.0,0.0,0.0,56.0,310.0,224.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
404,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,25,1997,11,9,731,8.1,1,1.98,0.49,0.06,0.25,10.7,0.0,0.0,10.6,17.2,61.9,6.54,9.75,67.1,2.35,4.07,57.6,0.37,0.62,60.0,0.0,0.49,0.99,0.12,0.0,0.99,17.2,0.0,0.0,0.25,0.0,10.6,0.49,1.6,1.23,0.0,0.37,0.0,0.0,0.0,0.25,0.12,0.0,0.12,0.0,0.37,0.12,0.0,0.25,0.12,25.0,0.37,0.25,0.0,0.25,0.12,0.49,0.0,27.8,0.74,2.1,12.2,14.2,4.44,27.8,2.22,1.23,0.74,14.2,75.3,27.5,1.36,0.62,0.99,21.7,3.7,0.12,0.0,0.0,1.48,0.99,0.25,2.1,4.32,5.06
405,Mahdi Camara,FRA,MF,Brest,Ligue 1,24,1998,17,14,1151,12.8,0,1.02,0.23,0.0,0.0,16.8,0.0,0.0,27.5,33.1,83.0,13.5,15.3,88.3,11.0,13.5,81.5,1.02,1.48,68.4,0.0,0.23,2.66,0.31,0.0,3.67,33.1,0.0,0.08,0.55,0.0,27.5,0.63,1.72,1.25,0.0,0.08,0.16,0.08,0.16,0.0,0.0,0.0,0.0,0.0,3.05,0.63,2.19,0.23,1.09,63.6,0.63,2.11,0.23,1.88,1.72,4.77,0.0,45.2,1.64,8.91,28.8,8.59,1.64,45.2,1.8,0.55,1.09,29.8,168.7,74.5,1.41,1.02,0.08,25.6,2.19,0.16,0.0,0.0,1.02,1.33,0.55,5.47,0.55,0.7
406,Mohamed Camara,GUI,MF,Roma,Serie A,25,1997,9,5,377,4.2,0,0.95,0.0,0.0,0.0,28.3,0.24,0.0,34.5,44.3,78.0,16.7,18.8,88.6,15.0,17.9,84.0,2.38,4.29,55.6,0.0,0.48,3.81,0.48,0.24,3.81,44.3,0.0,0.0,1.19,0.0,34.5,1.19,1.67,0.71,0.0,0.0,0.0,0.24,0.71,0.0,0.0,0.0,0.0,0.0,2.38,0.71,1.43,0.24,0.95,66.7,0.48,0.24,0.0,0.24,1.19,3.57,0.0,52.1,1.67,9.29,35.5,9.29,0.24,52.1,1.9,1.19,0.48,32.9,206.2,103.1,2.38,1.19,0.24,32.9,2.14,0.24,0.0,0.0,2.14,1.19,1.19,8.33,0.48,0.95
407,Mohamed Camara,MLI,MF,Monaco,Ligue 1,23,2000,18,16,1383,15.4,0,1.04,0.32,0.0,0.0,28.7,0.0,0.0,46.6,53.3,87.5,18.7,20.4,91.7,20.3,22.4,90.4,6.49,8.44,76.9,0.13,0.78,5.19,0.45,0.06,5.19,53.3,0.19,0.84,0.13,0.0,46.6,0.65,1.95,1.75,0.0,0.06,0.06,0.06,0.0,0.45,0.39,0.0,0.0,0.06,3.57,1.62,1.75,0.19,1.95,56.6,1.49,2.14,0.26,1.88,1.17,4.74,0.0,66.0,1.88,14.2,43.4,9.42,0.32,66.0,2.01,0.84,0.65,50.8,257.3,117.4,1.17,1.04,0.0,47.2,0.52,0.26,0.06,0.0,2.27,2.66,0.13,7.14,0.71,0.19
408,Ousmane Camara,GUI,FWMF,Auxerre,Ligue 1,21,2001,3,0,24,0.3,0,3.33,0.0,0.0,0.0,11.1,0.0,0.0,23.3,26.7,87.5,3.33,3.33,100.0,16.7,16.7,100.0,3.33,6.67,50.0,0.0,3.33,3.33,3.33,3.33,6.67,26.7,0.0,0.0,6.67,0.0,23.3,0.0,6.67,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,36.7,0.0,0.0,10.0,26.7,3.33,36.7,3.33,0.0,0.0,23.3,236.7,116.7,6.67,6.67,0.0,16.7,3.33,3.33,0.0,0.0,6.67,0.0,6.67,6.67,0.0,10.0
409,Ousmane Camara,FRA,DF,Angers,Ligue 1,19,2003,3,2,200,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,63.2,92.1,13.6,14.1,96.8,38.2,41.4,92.3,5.45,6.36,85.7,0.0,0.0,2.27,0.0,0.0,1.82,63.2,0.0,0.0,0.0,0.0,58.2,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.91,0.91,0.0,1.36,42.9,1.82,1.36,0.45,0.91,0.91,2.73,0.0,73.6,7.73,36.4,38.2,0.0,0.0,73.6,0.0,0.0,0.0,55.0,295.0,172.7,0.45,0.0,0.0,50.5,0.0,0.0,0.0,0.0,0.45,0.45,0.0,6.36,2.27,0.45
410,Eduardo Camavinga,FRA,MFDF,Real Madrid,La Liga,20,2002,20,9,914,10.2,0,1.18,0.1,0.0,0.0,23.6,0.0,0.0,57.0,62.7,90.8,29.1,31.5,92.5,21.7,23.0,94.0,3.82,4.8,79.6,0.1,1.27,6.76,0.78,0.1,8.04,62.7,0.2,0.29,0.49,0.0,57.0,0.59,4.51,3.33,0.0,0.39,0.2,0.59,0.0,0.29,0.2,0.0,0.0,0.0,2.94,1.08,1.08,0.78,0.78,30.8,1.76,1.27,0.29,0.98,0.88,3.82,0.0,75.6,1.96,14.5,41.0,21.7,1.18,75.6,3.33,1.76,1.18,51.4,304.1,176.3,3.73,4.71,0.39,56.9,4.8,0.29,0.0,0.0,1.47,3.63,0.49,6.18,0.88,0.69
411,Nicolò Cambiaghi,ITA,FWMF,Empoli,Serie A,22,2000,16,3,520,5.8,2,2.93,1.03,0.12,0.33,16.9,0.0,0.0,26.2,34.7,75.6,16.0,18.3,87.7,6.72,9.48,70.9,1.72,2.24,76.9,0.17,0.86,1.72,0.86,0.0,3.79,34.7,0.0,0.0,2.93,0.17,26.2,2.07,4.31,2.24,0.17,0.17,0.69,0.69,0.34,0.69,0.17,0.17,0.17,0.17,2.59,1.21,0.69,0.69,0.52,42.9,0.69,1.55,0.17,1.38,0.69,3.28,0.0,50.0,1.38,7.59,16.2,27.8,5.0,50.0,3.45,1.55,1.38,35.0,292.9,120.7,4.83,2.59,1.72,36.2,7.93,0.17,0.0,0.0,1.72,4.14,2.93,4.66,0.34,1.38
412,Andrea Cambiaso,ITA,DF,Bologna,Serie A,22,2000,19,13,1150,12.8,0,0.55,0.08,0.0,0.0,18.1,0.0,0.0,42.9,54.5,78.8,24.3,27.1,89.6,15.0,18.1,82.8,2.34,5.7,41.1,0.16,1.17,2.03,1.02,0.47,3.2,54.5,0.0,0.16,2.73,0.08,42.9,1.72,2.19,1.72,0.23,0.16,0.0,0.08,0.0,0.39,0.39,0.0,0.0,0.0,2.58,1.56,0.94,0.08,0.94,40.0,1.41,1.09,0.16,0.94,1.41,3.98,0.08,67.1,3.2,22.0,29.9,16.3,1.48,67.1,2.5,1.02,1.33,36.6,203.3,107.7,2.58,2.34,0.63,39.3,4.14,0.16,0.0,0.0,1.33,1.48,2.73,6.8,0.23,0.86
413,Axel Camblan,FRA,FWMF,Brest,Ligue 1,19,2003,7,0,68,0.8,0,1.25,1.25,0.0,0.0,6.8,0.0,0.0,23.8,33.8,70.4,16.3,18.8,86.7,3.75,6.25,60.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,5.0,33.8,0.0,0.0,2.5,0.0,23.8,0.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.25,1.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,2.5,0.0,57.5,0.0,7.5,21.3,30.0,11.3,57.5,5.0,1.25,3.75,35.0,352.5,101.3,2.5,3.75,1.25,37.5,11.3,0.0,0.0,0.0,5.0,1.25,2.5,6.25,8.75,3.75
414,Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,22,2001,20,17,1431,15.9,5,2.58,0.75,0.12,0.42,15.1,0.0,0.0,13.6,16.9,80.7,7.48,8.62,86.9,4.72,5.91,79.8,0.63,0.88,71.4,0.19,1.01,0.25,0.38,0.0,1.26,16.9,0.06,0.0,0.06,0.0,13.6,0.31,2.08,1.57,0.0,0.19,0.13,0.19,0.0,0.25,0.13,0.0,0.06,0.06,0.69,0.19,0.38,0.13,0.19,37.5,0.31,0.31,0.0,0.31,0.0,0.69,0.0,26.3,1.01,1.89,11.6,13.2,3.52,26.3,1.7,0.5,1.13,16.5,84.9,31.6,1.32,1.26,0.63,18.6,4.4,0.06,0.0,0.0,0.57,0.88,0.06,2.14,1.13,1.7
415,Chem Campbell,WAL,FWMF,Wolves,Premier League,20,2002,5,0,74,0.8,0,2.5,0.0,0.0,0.0,11.3,0.0,0.0,28.8,40.0,71.9,12.5,13.8,90.9,16.3,17.5,92.9,0.0,6.25,0.0,0.0,0.0,2.5,0.0,0.0,5.0,40.0,0.0,0.0,5.0,1.25,28.8,1.25,2.5,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.25,1.25,0.0,0.0,0.0,1.25,2.5,0.0,2.5,1.25,3.75,0.0,58.8,1.25,7.5,23.8,28.8,6.25,58.8,5.0,2.5,2.5,48.8,378.8,87.5,2.5,7.5,1.25,45.0,12.5,0.0,0.0,0.0,0.0,1.25,5.0,5.0,2.5,1.25
416,Emre Can,GER,MF,Dortmund,Bundesliga,29,1994,14,7,730,8.1,0,0.62,0.0,0.0,0.0,17.3,0.0,0.0,55.4,62.2,89.1,22.0,24.0,91.8,25.3,26.7,94.9,5.56,7.78,71.4,0.0,0.62,4.44,0.0,0.0,3.83,62.2,0.0,0.49,0.0,0.0,55.4,0.49,1.36,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.86,2.1,0.37,1.11,52.9,0.99,0.86,0.12,0.74,1.23,4.57,0.0,74.2,4.2,22.6,43.6,8.4,0.86,74.2,1.11,0.37,0.62,44.3,226.2,95.7,1.11,0.62,0.12,49.6,0.62,0.49,0.0,0.0,1.85,0.99,0.0,8.02,1.23,0.74
417,Sergio Canales,ESP,FWMF,Betis,La Liga,31,1991,18,16,1455,16.2,3,1.54,0.49,0.12,0.38,20.8,0.37,0.0,41.0,54.7,74.9,22.2,25.1,88.2,12.5,16.1,77.8,3.64,7.41,49.2,0.06,1.85,4.14,1.85,0.43,5.37,54.7,0.37,0.43,4.69,2.1,41.0,1.67,3.95,3.15,0.37,0.12,0.19,0.12,0.0,0.25,0.12,0.06,0.0,0.06,1.11,0.49,0.37,0.25,0.62,55.6,0.49,0.74,0.0,0.74,0.56,1.67,0.0,62.7,0.62,7.35,29.2,27.4,2.1,62.7,1.67,0.68,0.68,39.4,240.1,116.7,2.96,2.59,0.31,48.3,5.56,0.25,0.06,0.06,0.43,1.3,4.69,4.75,0.56,0.68
