Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PasTotCmp,PasTotAtt,PasTotCmp%,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,TB,Sw,PasCrs,CK,PasCmp,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,Tkl,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToTkl,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Crs,Recov,AerWon,AerLost
2198,Alex Sandro,BRA,DF,Juventus,Serie A,32,1991,17,13,1140,12.7,0,0.24,0.0,0.0,0.0,25.2,0.0,0.0,55.4,64.5,85.8,22.9,25.1,91.2,25.7,28.2,91.1,5.83,8.5,68.5,0.08,0.55,4.33,0.24,0.08,5.12,64.5,0.0,0.47,0.87,0.0,55.4,0.63,1.57,1.34,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.0,0.0,1.34,0.55,0.71,0.08,0.55,63.6,0.31,1.1,0.55,0.55,1.02,2.36,0.0,73.3,5.28,25.0,39.1,9.84,0.63,73.3,1.42,0.94,0.16,38.0,207.3,121.5,2.68,1.81,0.16,46.1,1.34,0.24,0.08,0.0,1.5,1.26,0.87,6.61,1.97,0.87
2199,Leroy Sané,GER,MFFW,Bayern Munich,Bundesliga,27,1996,18,13,1223,13.6,6,3.68,1.47,0.12,0.3,20.4,0.22,0.0,41.4,50.4,82.1,25.4,29.3,86.7,12.1,14.1,85.9,1.84,3.09,59.5,0.22,1.54,2.57,1.99,0.0,5.88,50.4,0.37,0.0,0.66,0.22,41.4,0.96,4.34,3.38,0.07,0.29,0.29,0.15,0.15,0.66,0.59,0.0,0.0,0.07,1.54,0.44,0.81,0.29,0.59,53.3,0.51,0.59,0.07,0.51,0.07,1.62,0.0,63.3,0.29,4.63,28.1,31.6,5.07,63.3,5.51,3.24,1.99,42.3,242.2,100.4,3.09,2.06,1.32,52.7,8.31,0.29,0.0,0.0,0.88,1.18,0.66,4.71,0.37,0.07
2200,Sidi Sané,GER,FW,Schalke 04,Bundesliga,19,2003,1,0,25,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,23.3,100.0,3.33,3.33,100.0,10.0,10.0,100.0,3.33,3.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,3.33,100.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,33.3,3.33,3.33,13.3,16.7,0.0,33.3,3.33,0.0,0.0,16.7,50.0,40.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0
2201,Morgan Sanson,FRA,MF,Aston Villa,Premier League,28,1994,2,0,11,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,70.0,71.4,30.0,40.0,75.0,10.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,90.0,10.0,10.0,40.0,40.0,0.0,90.0,0.0,0.0,0.0,50.0,110.0,90.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,10.0
2202,Morgan Sanson,FRA,MF,Strasbourg,Ligue 1,28,1994,3,3,192,2.1,0,0.95,0.0,0.0,0.0,14.3,0.0,0.0,20.0,26.7,75.0,8.57,10.5,81.8,8.57,11.0,78.3,0.95,2.86,33.3,0.48,0.48,2.86,0.48,0.48,0.95,26.7,0.0,0.0,0.95,0.0,20.0,0.95,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.0,0.0,2.38,1.43,0.95,0.0,0.0,0.0,0.48,1.43,0.0,1.43,1.9,4.29,0.0,43.3,1.43,9.05,25.7,9.05,0.95,43.3,4.29,0.95,2.38,31.0,221.9,99.5,1.9,0.95,0.48,29.5,3.81,0.0,0.0,0.0,2.38,2.38,0.95,6.67,1.43,1.43
2203,Nicola Sansone,ITA,FW,Bologna,Serie A,31,1991,10,5,421,4.7,1,2.98,0.64,0.07,0.33,19.2,0.21,0.0,17.7,24.3,72.8,9.57,11.7,81.8,5.11,6.6,77.4,0.85,1.91,44.4,0.0,0.21,0.85,0.43,0.0,1.28,24.3,0.0,0.21,1.91,1.06,17.7,0.85,2.98,1.7,0.0,0.43,0.21,0.64,0.0,0.43,0.0,0.0,0.0,0.0,0.85,0.64,0.0,0.21,0.64,75.0,0.21,0.0,0.0,0.0,0.0,0.85,0.0,36.8,0.64,3.4,15.7,18.7,3.62,36.8,2.55,0.64,1.49,25.1,154.3,68.1,2.98,2.34,1.28,29.4,8.94,0.43,0.0,0.0,1.49,2.13,1.91,2.98,0.0,1.7
2204,Baptiste Santamaria,FRA,MF,Rennes,Ligue 1,27,1995,10,9,776,8.6,1,1.05,0.58,0.11,0.2,22.4,0.0,0.0,61.9,71.5,86.5,23.0,26.2,88.0,27.0,30.6,88.2,9.65,11.6,83.0,0.0,1.16,8.14,0.35,0.0,8.6,71.5,0.0,0.81,0.23,0.0,61.9,0.47,3.14,3.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.47,2.09,0.23,1.4,60.0,0.93,0.93,0.35,0.58,0.81,3.6,0.0,80.9,1.28,12.1,56.9,12.6,1.28,80.9,0.81,0.47,0.35,61.7,299.0,135.2,0.12,2.21,0.0,56.5,1.63,0.23,0.0,0.0,1.28,0.81,0.23,8.84,2.91,1.51
2205,Riccardo Saponara,ITA,FW,Fiorentina,Serie A,31,1991,17,7,728,8.1,2,2.84,0.99,0.09,0.25,20.3,0.0,0.0,28.0,37.5,74.7,18.1,21.0,86.5,7.65,10.4,73.8,1.23,2.84,43.5,0.25,1.6,2.35,1.98,0.37,4.2,37.5,0.25,0.74,2.22,0.0,28.0,0.74,4.07,2.72,0.0,0.37,0.62,0.25,0.12,0.37,0.25,0.0,0.0,0.12,0.62,0.37,0.12,0.12,0.0,0.0,0.37,0.37,0.12,0.25,0.49,1.11,0.0,48.9,1.11,5.68,19.0,24.7,4.81,48.9,3.46,1.36,1.73,33.8,232.7,121.5,4.57,2.84,1.23,38.3,10.1,0.37,0.0,0.0,0.86,1.6,2.22,5.06,0.49,0.49
2206,Pablo Sarabia,ESP,FW,Wolves,Premier League,30,1992,3,2,194,2.2,0,2.27,0.0,0.0,0.0,14.7,0.0,0.0,24.5,33.2,74.0,15.5,18.6,82.9,6.36,7.73,82.4,1.82,4.55,40.0,0.0,0.45,1.36,0.45,0.0,3.18,33.2,0.0,0.0,2.73,3.18,24.5,0.91,2.73,0.91,0.91,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.91,0.45,25.0,1.36,0.45,0.0,0.45,0.0,0.91,0.0,42.3,0.0,8.18,17.3,18.2,2.27,42.3,2.27,0.45,1.82,25.9,104.1,42.7,0.45,1.82,0.0,29.1,5.0,0.0,0.0,0.0,0.91,0.91,2.73,6.36,0.45,2.73
2207,Pablo Sarabia,ESP,FWMF,Paris S-G,Ligue 1,30,1992,14,3,370,4.1,0,1.46,0.49,0.0,0.0,10.4,0.0,0.0,35.9,45.6,78.6,19.8,22.9,86.2,12.0,13.7,87.5,1.46,3.9,37.5,0.0,2.44,3.41,1.71,0.0,4.39,45.6,1.22,0.24,3.9,2.93,35.9,1.22,4.63,2.93,1.46,0.0,0.0,0.24,0.0,0.24,0.24,0.0,0.0,0.0,1.22,0.49,0.49,0.24,0.24,14.3,1.46,0.73,0.0,0.73,0.49,1.71,0.0,54.9,0.24,9.76,22.2,22.9,3.66,54.9,1.22,0.24,0.73,44.1,232.4,99.0,2.2,1.95,0.0,43.4,9.02,0.24,0.0,0.0,0.98,1.22,3.9,3.9,0.0,0.49
2208,Muhammed Saracevic Cham,AUT,MF,Clermont Foot,Ligue 1,22,2000,23,14,1228,13.6,4,2.13,0.74,0.1,0.3,20.1,0.15,0.07,36.1,46.0,78.4,17.5,20.4,85.6,12.6,15.1,83.9,3.6,6.25,57.6,0.15,1.47,3.09,1.47,0.07,4.63,46.0,0.74,0.07,3.31,2.06,36.1,1.32,3.09,2.13,0.59,0.0,0.29,0.07,0.0,0.22,0.22,0.0,0.0,0.0,1.69,0.81,0.22,0.66,0.66,36.0,1.18,0.74,0.0,0.74,0.37,2.06,0.0,57.1,0.74,6.99,27.6,23.3,2.65,57.1,2.43,1.1,1.03,43.7,255.9,114.2,2.87,2.65,0.44,42.1,5.29,0.15,0.0,0.0,1.03,1.84,3.31,4.49,0.22,0.22
2209,Jeremy Sarmiento,ECU,MF,Brighton,Premier League,20,2002,7,1,165,1.8,0,2.78,1.11,0.0,0.0,20.5,0.0,0.0,25.6,32.8,78.0,15.0,17.8,84.4,7.78,9.44,82.4,0.56,1.11,50.0,0.56,1.11,2.22,1.67,0.56,4.44,32.8,0.0,0.0,1.67,0.0,25.6,0.56,4.44,2.22,0.0,0.56,1.11,0.56,0.0,1.11,1.11,0.0,0.0,0.0,2.78,2.22,0.56,0.0,1.11,50.0,1.11,0.0,0.0,0.0,0.56,3.33,0.0,47.8,0.0,6.67,19.4,21.7,5.56,47.8,5.56,3.33,1.67,33.3,173.3,56.7,2.78,1.67,0.56,38.3,10.0,0.56,0.0,0.0,2.22,2.22,1.67,1.67,0.0,2.22
2210,Amin Sarr,SWE,FWMF,Lyon,Ligue 1,21,2001,2,0,50,0.6,0,1.67,1.67,0.0,0.0,5.5,0.0,0.0,8.33,15.0,55.6,6.67,10.0,66.7,0.0,3.33,0.0,1.67,1.67,100.0,0.0,0.0,1.67,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,0.0,0.0,0.0,26.7,0.0,1.67,10.0,15.0,6.67,26.7,3.33,1.67,1.67,13.3,81.7,18.3,1.67,1.67,1.67,15.0,1.67,0.0,0.0,0.0,5.0,0.0,0.0,1.67,3.33,6.67
2211,Malang Sarr,FRA,DF,Monaco,Ligue 1,24,1999,9,4,356,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,61.0,87.7,18.3,20.0,91.3,27.5,29.8,92.4,7.0,8.5,82.4,0.0,0.0,4.5,0.25,0.0,5.5,61.0,0.0,0.25,0.0,0.0,53.5,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,2.25,3.0,0.25,71.3,7.75,27.0,42.8,1.75,0.0,71.3,0.75,0.25,0.5,54.8,293.0,178.5,0.0,1.0,0.25,48.0,0.25,0.5,0.0,0.0,1.5,0.5,0.0,6.5,2.0,1.5
2212,Martin Satriano,URU,FW,Empoli,Serie A,21,2001,20,16,1239,13.8,1,2.1,0.58,0.03,0.13,16.5,0.0,0.0,14.1,20.5,68.6,7.83,10.1,77.1,4.42,6.45,68.5,0.58,1.23,47.1,0.07,0.72,0.94,0.51,0.07,1.3,20.5,0.07,0.07,0.94,0.0,14.1,0.58,1.67,1.23,0.0,0.07,0.14,0.22,0.0,0.22,0.14,0.0,0.0,0.07,0.72,0.22,0.43,0.07,0.29,57.1,0.22,0.36,0.0,0.36,0.14,0.87,0.0,32.0,0.8,3.33,14.3,15.0,3.84,32.0,2.46,0.65,1.67,17.9,99.2,39.3,1.59,1.38,0.58,24.5,6.38,0.22,0.0,0.0,1.01,1.52,0.94,2.9,2.32,2.46
2213,Téji Savanier,FRA,MF,Montpellier,Ligue 1,31,1991,18,18,1559,17.3,7,1.79,0.69,0.13,0.33,27.4,0.58,0.17,43.0,60.7,70.9,18.8,22.3,84.7,13.8,17.7,78.1,7.75,16.2,47.9,0.06,1.97,6.3,1.91,0.23,7.98,60.7,0.17,0.87,6.99,4.45,43.0,1.21,4.22,2.31,1.33,0.23,0.0,0.35,0.0,0.29,0.12,0.12,0.0,0.0,1.91,0.87,0.75,0.29,0.92,44.4,1.16,1.04,0.17,0.87,1.27,3.18,0.06,73.0,1.97,11.7,41.3,21.4,1.04,72.8,3.7,1.91,1.16,52.1,301.2,126.5,1.68,2.02,0.06,48.3,3.7,0.17,0.06,0.0,2.2,3.24,6.99,7.86,0.35,0.92
2214,Esteban Saveljich,MNE,FW,Rayo Vallecano,La Liga,31,1991,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,Stefan Savi?,MNE,DF,Atlético Madrid,La Liga,32,1991,13,13,1154,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,57.6,87.7,19.5,20.8,94.0,24.8,27.9,89.1,5.39,7.11,75.8,0.0,0.08,3.44,0.08,0.0,4.45,57.6,0.0,0.08,0.0,0.0,50.5,0.23,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,1.25,0.39,0.23,1.17,88.2,0.16,0.7,0.39,0.31,1.95,3.83,0.0,66.2,7.34,29.1,35.0,2.11,0.23,66.2,0.16,0.16,0.0,40.6,204.3,132.9,1.48,0.31,0.08,44.9,0.47,0.16,0.08,0.0,1.41,0.39,0.0,5.47,2.73,1.64
2216,Joe Scally,USA,DF,M'Gladbach,Bundesliga,20,2002,18,17,1514,16.8,0,0.3,0.06,0.0,0.0,13.1,0.0,0.0,36.3,46.1,78.8,19.0,21.7,87.9,14.4,17.0,84.6,2.26,4.46,50.7,0.0,0.42,1.19,0.65,0.36,2.08,46.1,0.0,0.06,1.49,0.0,36.3,1.61,1.37,0.95,0.12,0.06,0.06,0.18,0.0,0.18,0.12,0.06,0.0,0.0,1.25,0.95,0.3,0.0,0.95,76.2,0.3,0.71,0.3,0.42,0.3,1.55,0.0,54.5,3.04,17.9,24.8,11.8,0.89,54.5,1.07,0.42,0.54,26.5,116.8,52.0,0.83,0.83,0.0,30.7,2.8,0.06,0.0,0.0,0.42,2.32,1.49,3.63,0.65,0.36
2217,Giorgio Scalvini,ITA,DF,Atalanta,Serie A,19,2003,18,15,1231,13.7,2,0.73,0.29,0.2,0.5,12.0,0.0,0.0,44.9,56.5,79.5,23.1,26.1,88.3,16.9,19.5,86.5,3.94,8.18,48.2,0.0,0.22,5.11,0.66,0.15,6.2,56.5,0.07,1.17,0.44,0.0,44.9,0.73,1.31,1.17,0.0,0.15,0.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,2.48,1.31,0.73,0.44,1.46,66.7,0.73,1.46,0.51,0.95,1.9,4.38,0.07,67.0,4.67,24.7,33.4,9.64,0.95,67.0,1.09,0.51,0.44,36.0,142.9,79.8,0.88,0.8,0.22,43.0,1.02,0.36,0.0,0.0,2.55,0.29,0.44,7.15,1.53,1.02
2218,Gianluca Scamacca,ITA,FW,West Ham,Premier League,24,1999,16,11,926,10.3,3,2.91,0.97,0.1,0.3,18.7,0.1,0.0,11.5,17.2,66.7,6.12,8.25,74.1,3.01,5.05,59.6,1.65,2.04,81.0,0.0,1.26,1.36,0.49,0.1,1.65,17.2,0.0,0.78,0.1,0.0,11.5,0.68,2.33,1.94,0.0,0.1,0.19,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.97,0.1,0.29,0.58,0.19,100.0,0.0,0.29,0.0,0.29,0.39,1.36,0.0,26.5,0.49,1.26,13.1,12.4,3.69,26.5,1.36,0.58,0.58,13.9,64.1,27.4,1.26,0.68,0.29,19.7,4.66,0.29,0.0,0.0,1.55,0.97,0.1,2.23,1.65,2.04
2219,Gustavo Scarpa,BRA,MFFW,Nott'ham Forest,Premier League,29,1994,4,2,160,1.8,0,3.33,0.56,0.0,0.0,25.6,0.0,0.0,25.0,36.1,69.2,8.33,10.0,83.3,12.2,14.4,84.6,3.89,6.11,63.6,0.0,0.56,5.0,0.0,0.0,5.56,36.1,0.56,1.11,1.67,0.56,25.0,2.78,5.0,1.67,0.56,0.56,0.56,1.11,0.56,0.0,0.0,0.0,0.0,0.0,2.22,1.11,0.56,0.56,1.11,50.0,1.11,1.67,0.0,1.67,0.0,2.22,0.0,49.4,1.11,10.6,26.1,13.3,0.56,49.4,1.11,0.56,0.56,30.6,242.2,160.6,4.44,2.22,0.0,32.8,2.22,0.56,0.0,0.0,1.67,3.89,1.67,5.56,0.56,1.11
